City Name,city,cloudiness,country,date,humidity,latitude,longitude,max temp,wind speed,date only
huarmey,Huarmey,100,PE,2019-07-02 14:50:34,90,-10.07,-78.15,63.56,14.41,2019-07-02
new norfolk,New Norfolk,75,AU,2019-07-02 14:54:47,65,-42.78,147.06,46.99,4.7,2019-07-02
souillac,Souillac,0,FR,2019-07-02 14:52:06,47,45.6,-0.6,82.4,11.41,2019-07-02
naron,Naron,75,ES,2019-07-02 14:54:47,73,43.52,-8.15,69.8,10.29,2019-07-02
turbat,Turbat,1,PK,2019-07-02 14:54:47,66,26,63.05,86.24,11.97,2019-07-02
mar del plata,Mar del Plata,93,AR,2019-07-02 14:54:47,94,-46.43,-67.52,35.3,18.23,2019-07-02
georgetown,Georgetown,40,GY,2019-07-02 14:51:23,78,6.8,-58.16,86,13.87,2019-07-02
teahupoo,Teahupoo,100,PF,2019-07-02 14:54:47,83,-17.83,-149.27,73.4,1.12,2019-07-02
cheremukhovo,Cheremukhovo,23,RU,2019-07-02 14:54:48,72,56.23,46.23,70.76,2.26,2019-07-02
rikitea,Rikitea,100,PF,2019-07-02 14:54:48,75,-23.12,-134.97,69.32,21,2019-07-02
sorland,Sorland,75,NO,2019-07-02 14:54:48,76,67.67,12.69,50,11.41,2019-07-02
chuy,Chuy,96,UY,2019-07-02 14:54:48,67,-33.69,-53.46,51.5,16.24,2019-07-02
bethel,Bethel,90,US,2019-07-02 14:52:22,93,60.79,-161.76,51.8,12.75,2019-07-02
busselton,Busselton,15,AU,2019-07-02 14:54:48,62,-33.64,115.35,50,11.1,2019-07-02
butaritari,Butaritari,100,KI,2019-07-02 14:52:09,70,3.07,172.79,84.62,8.43,2019-07-02
mataura,Mataura,100,NZ,2019-07-02 14:54:49,80,-46.19,168.86,50,1.99,2019-07-02
kapaa,Kapaa,75,US,2019-07-02 14:54:49,78,22.08,-159.32,78.8,5.82,2019-07-02
jambi,Jambi,60,ID,2019-07-02 14:54:49,96,-1.6,103.62,75.62,1.68,2019-07-02
maturin,Maturin,0,VE,2019-07-02 14:54:49,58,9.75,-63.18,82.46,7.92,2019-07-02
baruun-urt,Baruun-Urt,34,MN,2019-07-02 14:54:49,55,46.68,113.28,63.92,3.62,2019-07-02
punta arenas,Punta Arenas,20,CL,2019-07-02 14:54:50,80,-53.16,-70.91,33.8,5.82,2019-07-02
hilo,Hilo,1,US,2019-07-02 14:54:50,78,19.71,-155.08,71.6,6.93,2019-07-02
klaksvik,Klaksvik,69,FO,2019-07-02 14:54:50,62,62.23,-6.59,51.8,18.34,2019-07-02
horsham,Horsham,0,AU,2019-07-02 14:54:50,94,-36.71,142.2,43.22,2.68,2019-07-02
lagoa,Lagoa,0,PT,2019-07-02 14:46:10,64,37.14,-8.45,79,10.29,2019-07-02
tigil,Tigil,85,RU,2019-07-02 14:54:51,90,57.8,158.67,47.9,5.3,2019-07-02
tuktoyaktuk,Tuktoyaktuk,75,CA,2019-07-02 14:54:51,87,69.44,-133.03,46.4,17.22,2019-07-02
atuona,Atuona,6,PF,2019-07-02 14:54:51,77,-9.8,-139.03,79.76,13.53,2019-07-02
jamestown,Jamestown,0,AU,2019-07-02 14:52:06,89,-33.21,138.6,46.64,3.22,2019-07-02
thompson,Thompson,75,CA,2019-07-02 14:52:10,76,55.74,-97.86,51.8,8.05,2019-07-02
qaanaaq,Qaanaaq,0,GL,2019-07-02 14:54:51,42,77.48,-69.36,49.34,3.02,2019-07-02
arraial do cabo,Arraial do Cabo,40,BR,2019-07-02 14:54:52,78,-22.97,-42.02,78.8,6.93,2019-07-02
okato,Okato,100,NZ,2019-07-02 14:54:52,88,-39.19,173.88,57.99,5.01,2019-07-02
alofi,Alofi,39,NU,2019-07-02 14:54:52,69,-19.06,-169.92,75.2,13.87,2019-07-02
jumla,Jumla,1,NP,2019-07-02 14:54:52,94,29.28,82.18,57.08,4.27,2019-07-02
komsomolskiy,Komsomolskiy,100,RU,2019-07-02 14:54:52,48,67.55,63.78,77.6,9.93,2019-07-02
pagudpud,Pagudpud,100,PH,2019-07-02 14:54:52,75,18.56,120.79,84.44,29.48,2019-07-02
east london,East London,0,ZA,2019-07-02 14:54:53,26,-33.02,27.91,71.6,8.05,2019-07-02
victoria,Victoria,75,BN,2019-07-02 14:54:53,78,5.28,115.24,82.4,4.7,2019-07-02
amarante,Amarante,0,PT,2019-07-02 14:54:53,77,41.27,-8.08,86,6.93,2019-07-02
hamilton,Hamilton,90,CA,2019-07-02 14:50:07,73,43.26,-79.87,78.01,5.82,2019-07-02
hermanus,Hermanus,100,ZA,2019-07-02 14:46:11,69,-34.42,19.24,64.99,14,2019-07-02
ushuaia,Ushuaia,75,AR,2019-07-02 14:46:11,86,-54.81,-68.31,33.8,4.7,2019-07-02
upernavik,Upernavik,7,GL,2019-07-02 14:54:54,86,72.79,-56.15,40.52,2.42,2019-07-02
albany,Albany,90,US,2019-07-02 14:52:20,68,42.65,-73.75,73,3.36,2019-07-02
port hedland,Port Hedland,32,AU,2019-07-02 14:54:54,59,-20.31,118.58,60.8,6.93,2019-07-02
cabo san lucas,Cabo San Lucas,40,MX,2019-07-02 14:50:57,78,22.89,-109.91,80.01,2.44,2019-07-02
santa rosa,Santa Rosa,99,AR,2019-07-02 14:51:45,39,-36.62,-64.29,55.1,26.75,2019-07-02
port-gentil,Port-Gentil,40,GA,2019-07-02 14:54:54,74,-0.72,8.78,78.8,17.22,2019-07-02
nikolskoye,Nikolskoye,75,RU,2019-07-02 14:54:55,77,59.7,30.79,66,8.95,2019-07-02
bluff,Bluff,90,AU,2019-07-02 14:54:55,67,-23.58,149.07,63.56,7.29,2019-07-02
mahebourg,Mahebourg,40,MU,2019-07-02 14:54:55,64,-20.41,57.7,73.4,10.29,2019-07-02
bredasdorp,Bredasdorp,94,ZA,2019-07-02 14:52:24,45,-34.53,20.04,68,25.28,2019-07-02
avarua,Avarua,49,CK,2019-07-02 14:52:58,68,-21.21,-159.78,69.8,10.29,2019-07-02
bambous virieux,Bambous Virieux,40,MU,2019-07-02 14:54:55,64,-20.34,57.76,73.4,10.29,2019-07-02
huilong,Huilong,79,CN,2019-07-02 14:54:56,60,31.15,106.5,79.22,1.88,2019-07-02
vostok,Vostok,86,RU,2019-07-02 14:52:33,96,46.45,135.83,55.82,2.66,2019-07-02
tuatapere,Tuatapere,100,NZ,2019-07-02 14:54:56,80,-46.13,167.69,50,1.99,2019-07-02
hobart,Hobart,75,AU,2019-07-02 14:54:56,65,-42.88,147.33,46.99,4.7,2019-07-02
carnarvon,Carnarvon,0,ZA,2019-07-02 14:54:56,38,-30.97,22.13,51.32,13.69,2019-07-02
tineo,Tineo,75,ES,2019-07-02 14:54:56,93,43.34,-6.41,66.99,6.93,2019-07-02
robe,Robe,100,ET,2019-07-02 14:54:57,90,7.12,40.01,56.18,2.48,2019-07-02
henties bay,Henties Bay,0,NA,2019-07-02 14:54:57,64,-22.12,14.28,64.99,11.99,2019-07-02
mount gambier,Mount Gambier,27,AU,2019-07-02 14:54:57,76,-37.83,140.78,55.64,7.36,2019-07-02
faanui,Faanui,93,PF,2019-07-02 14:54:57,81,-16.48,-151.75,77.6,31.61,2019-07-02
peterhead,Peterhead,20,AU,2019-07-02 14:54:57,93,-34.83,138.5,53.01,5.82,2019-07-02
cidreira,Cidreira,0,BR,2019-07-02 14:52:24,52,-30.17,-50.22,58.34,5.26,2019-07-02
halifax,Halifax,75,CA,2019-07-02 14:54:03,72,44.65,-63.58,68,18.34,2019-07-02
severo-kurilsk,Severo-Kurilsk,100,RU,2019-07-02 14:54:58,95,50.68,156.12,41.96,3.89,2019-07-02
havre-saint-pierre,Havre-Saint-Pierre,1,CA,2019-07-02 14:50:13,67,50.23,-63.6,62.6,10.29,2019-07-02
cananea,Cananea,1,MX,2019-07-02 14:54:58,38,30.98,-110.3,79,3.36,2019-07-02
luangwa,Luangwa,7,MZ,2019-07-02 14:54:58,29,-15.62,30.4,81.2,4.56,2019-07-02
kaitangata,Kaitangata,100,NZ,2019-07-02 14:54:59,60,-46.28,169.85,52,1.99,2019-07-02
port alfred,Port Alfred,0,ZA,2019-07-02 14:54:07,44,-33.59,26.89,66.99,8.01,2019-07-02
vaini,Vaini,100,IN,2019-07-02 14:54:59,85,15.34,74.49,78.32,6.15,2019-07-02
mandera,Mandera,65,ET,2019-07-02 14:54:59,29,3.94,41.86,90.56,17.31,2019-07-02
bay roberts,Bay Roberts,75,CA,2019-07-02 14:52:40,78,47.58,-53.28,71.6,6.93,2019-07-02
port hardy,Port Hardy,90,CA,2019-07-02 14:54:59,93,50.7,-127.42,55.4,2.24,2019-07-02
ribeira grande,Ribeira Grande,75,PT,2019-07-02 14:55:00,88,38.52,-28.7,73.4,9.17,2019-07-02
quelimane,Quelimane,20,MZ,2019-07-02 14:55:00,70,-17.88,36.89,84.2,8.05,2019-07-02
pevek,Pevek,52,RU,2019-07-02 14:55:00,94,69.7,170.27,35.12,8.3,2019-07-02
barrow,Barrow,0,AR,2019-07-02 14:55:00,43,-38.31,-60.23,49.16,22.68,2019-07-02
puerto ayora,Puerto Ayora,40,EC,2019-07-02 14:55:00,73,-0.74,-90.35,75.2,16.11,2019-07-02
port moresby,Port Moresby,76,PG,2019-07-02 14:55:01,80,-9.47,147.16,76.16,16.89,2019-07-02
winkler,Winkler,1,CA,2019-07-02 14:55:01,64,49.19,-97.94,77,14.99,2019-07-02
ahipara,Ahipara,97,NZ,2019-07-02 14:55:01,90,-35.17,173.16,61.04,12.91,2019-07-02
khatanga,Khatanga,82,RU,2019-07-02 14:55:01,39,71.98,102.47,59.42,4.25,2019-07-02
leningradskiy,Leningradskiy,85,RU,2019-07-02 14:55:01,99,69.38,178.42,36.02,2.82,2019-07-02
kapuskasing,Kapuskasing,20,CA,2019-07-02 14:55:02,53,49.42,-82.43,71.6,2.24,2019-07-02
hendek,Hendek,0,TR,2019-07-02 14:55:02,54,40.8,30.75,84.2,10.29,2019-07-02
el alto,El Alto,20,BO,2019-07-02 14:55:02,45,-16.5,-68.19,48.2,2.24,2019-07-02
porto torres,Porto Torres,0,IT,2019-07-02 14:55:02,55,40.84,8.4,89.6,9.17,2019-07-02
hirara,Hirara,100,JP,2019-07-02 14:55:03,83,24.8,125.28,84.08,22.41,2019-07-02
iqaluit,Iqaluit,5,CA,2019-07-02 14:52:28,65,63.75,-68.52,46.4,4.7,2019-07-02
lavrentiya,Lavrentiya,100,RU,2019-07-02 14:55:03,96,65.58,-170.99,43.22,5.46,2019-07-02
dikson,Dikson,100,RU,2019-07-02 14:55:03,99,73.51,80.55,42.14,8.08,2019-07-02
koshurnikovo,Koshurnikovo,100,RU,2019-07-02 14:55:03,93,54.3,93.39,52.58,1.59,2019-07-02
roma,Rome,0,IT,2019-07-02 14:53:01,33,41.89,12.48,96.8,9.17,2019-07-02
cape town,Cape Town,75,ZA,2019-07-02 14:51:42,93,-33.93,18.42,57.99,19.46,2019-07-02
pundaguitan,Pundaguitan,100,PH,2019-07-02 14:55:04,82,6.37,126.17,80.84,11.14,2019-07-02
qaqortoq,Qaqortoq,75,GL,2019-07-02 14:55:04,93,60.72,-46.03,44.6,5.82,2019-07-02
airai,Airai,9,TL,2019-07-02 14:52:35,82,-8.93,125.41,70.76,4.29,2019-07-02
kodiak,Kodiak,1,US,2019-07-02 14:55:04,45,39.95,-94.76,82.99,4.7,2019-07-02
marsa matruh,Marsa Matruh,0,EG,2019-07-02 14:55:04,69,31.35,27.25,82.4,10.29,2019-07-02
littleton,Littleton,40,US,2019-07-02 14:50:35,77,39.61,-105.02,72,10.29,2019-07-02
cortez,Cortez,1,US,2019-07-02 14:55:05,49,37.35,-108.58,73,3.36,2019-07-02
tiksi,Tiksi,100,RU,2019-07-02 14:55:05,94,71.64,128.87,35.66,14.23,2019-07-02
stawell,Stawell,0,AU,2019-07-02 14:55:05,92,-37.06,142.77,43.4,2.42,2019-07-02
berlevag,Berlevag,75,NO,2019-07-02 14:55:05,71,70.86,29.09,55.4,3.36,2019-07-02
haines junction,Haines Junction,98,CA,2019-07-02 14:55:05,80,60.75,-137.51,58.88,4.21,2019-07-02
viedma,Viedma,78,AR,2019-07-02 14:52:07,58,-40.81,-62.99,47,26.73,2019-07-02
poronaysk,Poronaysk,100,RU,2019-07-02 14:55:06,95,49.22,143.1,46.28,2.21,2019-07-02
sola,Sola,0,TZ,2019-07-02 14:55:06,22,-3.17,33.8,84.8,8.14,2019-07-02
coquimbo,Coquimbo,0,CL,2019-07-02 14:55:06,81,-29.95,-71.34,48.2,5.82,2019-07-02
tonkino,Tonkino,61,RU,2019-07-02 14:55:06,83,57.37,46.46,66.08,6.67,2019-07-02
alice springs,Alice Springs,0,AU,2019-07-02 14:55:00,34,-23.7,133.88,51.8,5.82,2019-07-02
nelson bay,Nelson Bay,0,AU,2019-07-02 14:55:06,100,-32.72,152.14,55.99,5.82,2019-07-02
ocos,Ocos,40,GT,2019-07-02 14:55:07,69,14.51,-92.19,82.4,3.78,2019-07-02
santa lucia,Santa Lucia,0,IT,2019-07-02 14:55:07,33,41.98,12.66,96.8,9.17,2019-07-02
bodden town,Bodden Town,20,KY,2019-07-02 14:55:07,70,19.28,-81.25,87.8,8.05,2019-07-02
grindavik,Grindavik,75,IS,2019-07-02 14:55:07,58,63.84,-22.43,55.4,4.7,2019-07-02
adre,Adre,0,TD,2019-07-02 14:55:07,37,13.47,22.2,90.02,9.6,2019-07-02
jieshi,Jieshi,100,CN,2019-07-02 14:55:08,90,22.82,115.83,79.58,3.4,2019-07-02
vanderhoof,Vanderhoof,43,CA,2019-07-02 14:55:08,50,54.02,-124.02,56.36,0.38,2019-07-02
myaundzha,Myaundzha,100,RU,2019-07-02 14:55:08,78,63.05,147.18,51.32,4.18,2019-07-02
rocha,Rocha,100,UY,2019-07-02 14:55:08,64,-34.48,-54.34,52.4,17.63,2019-07-02
osakarovka,Osakarovka,100,KZ,2019-07-02 14:55:08,67,50.56,72.58,65.72,13.49,2019-07-02
evensk,Evensk,100,RU,2019-07-02 14:55:08,97,61.92,159.24,47.9,6.96,2019-07-02
zhob,Zhob,0,PK,2019-07-02 14:55:09,22,31.34,69.45,85.88,11.68,2019-07-02
funadhoo,Funadhoo,90,MV,2019-07-02 14:55:09,73,6.15,73.27,83.54,11.3,2019-07-02
codrington,Codrington,75,AU,2019-07-02 14:55:09,93,-28.95,153.24,55.99,3.44,2019-07-02
constitucion,Constitucion,5,MX,2019-07-02 14:55:09,59,23.99,-104.67,66,4.7,2019-07-02
yellowknife,Yellowknife,75,CA,2019-07-02 14:55:09,66,62.45,-114.38,55.4,19.46,2019-07-02
deep river,Deep River,1,CA,2019-07-02 14:55:10,69,46.1,-77.49,78.01,3.36,2019-07-02
kangaatsiaq,Kangaatsiaq,15,GL,2019-07-02 14:55:10,61,68.31,-53.46,41.78,16.13,2019-07-02
troutdale,Troutdale,90,US,2019-07-02 14:55:10,82,45.53,-122.39,61,4.7,2019-07-02
nantucket,Nantucket,1,US,2019-07-02 14:55:10,73,41.28,-70.1,78.01,9.17,2019-07-02
yumen,Yumen,100,CN,2019-07-02 14:55:10,12,40.29,97.04,87.5,9.71,2019-07-02
laranjeiras do sul,Laranjeiras do Sul,100,BR,2019-07-02 14:50:18,86,-25.41,-52.42,68.42,6.31,2019-07-02
kondinskoye,Kondinskoye,0,RU,2019-07-02 14:55:11,52,59.65,67.41,74,10.42,2019-07-02
nioro,Nioro,0,GM,2019-07-02 14:55:11,39,13.79,-15.05,96.68,5.97,2019-07-02
college,College,1,US,2019-07-02 14:55:11,87,64.86,-147.8,53.6,5.82,2019-07-02
longyearbyen,Longyearbyen,75,NO,2019-07-02 14:55:11,70,78.22,15.63,46.4,19.46,2019-07-02
patti,Patti,28,IN,2019-07-02 14:55:12,39,31.28,74.86,98.6,5.82,2019-07-02
ipilan,Ipilan,100,PH,2019-07-02 14:55:12,72,8.84,117.9,81.74,5.68,2019-07-02
teknaf,Teknaf,100,BD,2019-07-02 14:55:12,91,20.86,92.31,81.74,22.91,2019-07-02
ugoofaaru,Ugoofaaru,100,MV,2019-07-02 14:54:22,71,5.67,73,84.08,11.14,2019-07-02
torbay,Torbay,75,CA,2019-07-02 14:52:13,88,47.66,-52.73,71.6,13.87,2019-07-02
porto empedocle,Porto Empedocle,20,IT,2019-07-02 14:55:12,65,37.29,13.53,88,10.29,2019-07-02
piopio,Piopio,40,CL,2019-07-02 14:55:13,87,-42.79,-73.57,44.6,3.36,2019-07-02
beringovskiy,Beringovskiy,100,RU,2019-07-02 14:55:13,95,63.05,179.32,43.76,3.56,2019-07-02
luena,Luena,0,AO,2019-07-02 14:55:13,39,-11.78,19.91,80.6,9.17,2019-07-02
torata,Torata,90,EC,2019-07-02 14:55:13,94,-3.6,-79.89,89.6,4.7,2019-07-02
norman wells,Norman Wells,90,CA,2019-07-02 14:55:13,82,65.28,-126.83,57.2,4.7,2019-07-02
namatanai,Namatanai,69,PG,2019-07-02 14:55:14,85,-3.66,152.44,78.5,15.75,2019-07-02
olavarria,Olavarria,0,AR,2019-07-02 14:55:14,64,-36.89,-60.32,51.01,5.01,2019-07-02
richards bay,Richards Bay,0,ZA,2019-07-02 14:55:14,50,-28.77,32.06,68.24,8.59,2019-07-02
laguna,Laguna,75,BZ,2019-07-02 14:55:14,79,16.17,-88.94,86,5.3,2019-07-02
sulangan,Sulangan,95,PH,2019-07-02 14:55:14,71,11.14,123.72,83.54,5.68,2019-07-02
suez,Suez,0,EG,2019-07-02 14:55:15,20,29.97,32.54,94.88,21.94,2019-07-02
ponta do sol,Ponta do Sol,22,BR,2019-07-02 14:55:15,40,-20.63,-46,75.98,3.22,2019-07-02
qena,Qena,0,EG,2019-07-02 14:55:15,25,26.16,32.72,107.6,9.17,2019-07-02
ronneby,Ronneby,20,SE,2019-07-02 14:55:15,72,56.21,15.28,62.01,14.99,2019-07-02
poddorye,Poddorye,9,RU,2019-07-02 14:55:15,81,57.47,31.12,65,7.49,2019-07-02
kruisfontein,Kruisfontein,87,ZA,2019-07-02 14:55:16,50,-34,24.73,63.02,8.95,2019-07-02
ixtapa,Ixtapa,40,MX,2019-07-02 14:55:16,78,20.71,-105.21,84,4.27,2019-07-02
twin falls,Twin Falls,1,US,2019-07-02 14:55:16,55,42.57,-114.46,66.99,12.75,2019-07-02
yulara,Yulara,0,AU,2019-07-02 14:55:16,37,-25.24,130.99,50,3.36,2019-07-02
thinadhoo,Thinadhoo,100,MV,2019-07-02 14:55:17,69,0.53,72.93,84.44,8.16,2019-07-02
skibbereen,Skibbereen,75,IE,2019-07-02 14:55:17,72,51.55,-9.27,60.8,8.05,2019-07-02
imeni zhelyabova,Imeni Zhelyabova,0,RU,2019-07-02 14:55:17,55,58.95,36.6,67.52,10.69,2019-07-02
chokurdakh,Chokurdakh,100,RU,2019-07-02 14:55:17,80,70.62,147.9,41.78,8.34,2019-07-02
macamic,Macamic,20,CA,2019-07-02 14:55:17,60,48.75,-79,73.4,5.82,2019-07-02
jaisalmer,Jaisalmer,0,IN,2019-07-02 14:55:18,22,26.91,70.91,104.06,10.56,2019-07-02
wladyslawowo,Wladyslawowo,0,PL,2019-07-02 14:55:18,51,54.79,18.4,66.99,25.28,2019-07-02
kasese,Kasese,0,UG,2019-07-02 14:55:18,47,0.17,30.09,83.36,1.3,2019-07-02
atasu,Atasu,100,KZ,2019-07-02 14:55:18,47,48.68,71.64,70.94,8.05,2019-07-02
sicamous,Sicamous,75,CA,2019-07-02 14:55:18,87,50.84,-118.99,63,6.93,2019-07-02
gonen,Gonen,20,IL,2019-07-02 14:55:18,27,33.12,35.65,87.8,16.11,2019-07-02
floro,Floro,75,NO,2019-07-02 14:55:19,76,61.6,5.03,50,21.92,2019-07-02
hualmay,Hualmay,66,PE,2019-07-02 14:55:19,89,-11.1,-77.61,63.2,13.78,2019-07-02
namibe,Namibe,0,AO,2019-07-02 14:55:19,73,-15.19,12.15,69.8,8.05,2019-07-02
tula,Tula,0,RU,2019-07-02 14:55:19,75,54.19,37.62,66.44,12.62,2019-07-02
hithadhoo,Hithadhoo,100,MV,2019-07-02 14:55:19,70,-0.6,73.08,84.44,8.32,2019-07-02
ketchikan,Ketchikan,90,US,2019-07-02 14:55:20,93,55.34,-131.65,59,7.31,2019-07-02
montana,Montana,0,BG,2019-07-02 14:55:20,41,43.41,23.22,87.86,3.33,2019-07-02
castro,Castro,75,CL,2019-07-02 14:55:20,100,-42.48,-73.76,39.2,4.7,2019-07-02
lardos,Lardos,0,GR,2019-07-02 14:54:38,69,36.09,28.02,82,18.34,2019-07-02
